unit_id,unit_type,guide_count,x_mean,n_treated,n_control,u_norm,den,den_is_bad,beta_obs_nan,pmin_raw,pvals_raw_eq1_frac,pmin_skew,pvals_skew_eq1_frac,p_hat_mean,p_hat_min,p_hat_max,p_hat_var,propensity_separation_flag,propensity_auc,null_nan_frac,beta_null_mean_k0,beta_null_sd_k0,null_z_mean_k0,null_z_sd_k0,null_z_skew_k0,z_obs_k0,p_raw_k0,p_skew_k0,seed_base
GENE00010,real_gene,6,0.045,225,4775,2267.0811978947117,214.5989180907444,False,False,0.030969030969030968,0.0,0.042402925910925426,0.0,0.044997902400991704,0.024924543331774053,0.08697082810964014,5.530243729305182e-05,False,0.540396044211751,0.0,0.020500022467687198,0.32141448399042544,1.687538997430238e-17,0.9999999999999999,-0.1606884124540379,-1.023850861454605,0.35564435564435565,0.3045886021616671,0
GENE00011,real_gene,6,0.1074,537,4463,5410.6965858356125,478.5097033170384,False,False,0.004995004995004995,0.0,0.0030341726099509386,0.0,0.107400268126672,0.07818432712885147,0.14706062377396245,0.00016142266272057686,False,0.5393738126561828,0.0,0.002818772295245667,0.21662125651455819,0.0,1.0,-0.014859702330776407,1.5514981848572145,0.11988011988011989,0.1199156869281928,0
GENE00012,real_gene,6,0.0966,483,4517,4849.900799142864,435.4195002319803,False,False,0.03696303696303696,0.0,0.038709548843464836,0.0,0.09659288968844924,0.060431311729855594,0.1508510563914606,0.00017950239196057286,False,0.546932201377726,0.0,0.002845990935254069,0.22096223838344076,2.4868995751603507e-17,0.9999999999999999,-0.08020784099180227,1.0743596455864477,0.2777222777222777,0.2806587522366,0
GENE00013,real_gene,6,0.1516,758,4242,7624.649660619661,641.9812385052667,False,False,0.03196803196803197,0.0,0.031768901622815884,0.0,0.1516000325233643,0.10772943198317782,0.21473497257541374,0.00022086118912855568,False,0.5292330495771025,0.0,-0.006971268052048444,0.19119266963485707,2.9309887850104134e-17,1.0,-0.013622903563394833,-0.10415304266178393,0.9040959040959041,0.9152382521433512,0
GENE00014,real_gene,6,0.1478,739,4261,7439.0978239778915,629.0163554629461,False,False,0.017982017982017984,0.0,0.02628553695759317,0.0,0.1477956149097381,0.10392550122663367,0.2058016762195452,0.0001516704543816232,False,0.5267423740321556,0.0,0.006352918792263204,0.19561363677204108,1.4210854715202004e-17,0.9999999999999999,-0.0009079998794601652,-0.15388456777557893,0.926073926073926,0.8775832737469411,0
GENE00015,real_gene,6,0.044,220,4780,2212.0124339409176,210.00004178342527,False,False,0.022977022977022976,0.0,0.020166116225608502,0.05,0.04399763448858125,0.024970972183673574,0.08254036381530412,6.339663328513894e-05,False,0.5596319893495626,0.0,-0.01160201677003824,0.31446511929146614,8.881784197001253e-18,1.0000000000000002,-0.23520951515364708,0.4492427657461903,0.6803196803196803,0.6739114993715276,0
GENE00016,real_gene,6,0.1426,713,4287,7179.7670857143785,610.0331404516807,False,False,0.0989010989010989,0.0,0.10043762365064046,0.0,0.1425999953069904,0.09221564079895993,0.21395411347350915,0.0002586564421718912,False,0.5423624899439939,0.0,-0.0033475421953170405,0.1917440707961841,-8.881784197001253e-19,1.0,-0.286727033964027,0.3043385493193735,0.7652347652347652,0.7936757711830607,0
GENE00017,real_gene,6,0.0636,318,4682,3196.14385751343,297.1952151078878,False,False,0.054945054945054944,0.0,0.05143923048340269,0.0,0.0635997728149301,0.03437647658856574,0.11488983610984703,0.00011571479814324728,False,0.549932297921385,0.0,-0.0009305862902848152,0.2742877625957636,0.0,1.0,-0.07623033710960374,-1.051811151097146,0.2997002997002997,0.29264868966507485,0
GENE00018,real_gene,6,0.05,250,4750,2520.0413153677555,237.0939226879677,False,False,0.007992007992007992,0.0,0.008266248391022024,0.0,0.05000007233557104,0.026345943363832173,0.09441527398402938,8.14489277374335e-05,False,0.551013052631579,0.0,-0.01441226502726163,0.3077134665427778,-1.2434497875801754e-17,1.0,-0.025403969481534068,-1.2976477975224139,0.18981018981018982,0.19525334321092375,0
GENE00019,real_gene,6,0.0694,347,4653,3492.6751055220884,322.3209260722604,False,False,0.06293706293706294,0.0,0.062407685342345615,0.0,0.06940022328637152,0.03766074328009995,0.11644635806393794,0.00011998761594539397,False,0.546898874080185,0.0,0.005506771600184107,0.2603140851987685,6.217248937900877e-18,1.0000000000000002,-0.04427441344338795,0.4105879000973528,0.6783216783216783,0.685473788518814,0
GENE00020,real_gene,6,0.0252,126,4874,1270.183297065829,122.6891258598562,False,False,0.002997002997002997,0.0,0.004558332422421155,0.0,0.025200197078935078,0.012204426366158396,0.054443222913388656,2.7125189852619515e-05,False,0.5600204518957084,0.0,-0.000640677606669863,0.42216948352390504,-1.7763568394002505e-17,1.0,-0.0746910069769235,0.31550211272282086,0.7542457542457542,0.7603406208869199,0
GENE00021,real_gene,6,0.0782,391,4609,3939.130191498296,359.1611525231316,False,False,0.022977022977022976,0.0,0.03823568143514905,0.0,0.07819963925448158,0.03844910805771312,0.1444172869520598,0.0002528509301784387,False,0.5580347357749406,0.0,0.016991631014072004,0.2522732204169027,1.2434497875801754e-17,1.0,-0.12542113737479402,0.040055140571863435,0.9240759240759241,0.9849110192128547,0
GENE00022,real_gene,6,0.0598,299,4701,2994.319268425739,280.32886393995113,False,False,0.02197802197802198,0.0,0.02596794594358265,0.0,0.059801190220563384,0.02768983043516645,0.11776039408071141,0.00015543634023406359,False,0.5619668198397979,0.0,0.006717160941586404,0.2778758844220565,5.3290705182007515e-18,1.0,-0.16225985611594995,0.38000431533712004,0.6803196803196803,0.7198378345504209,0
GENE00023,real_gene,6,0.203,1015,3985,10216.10680089195,808.6079309633233,False,False,0.03496503496503497,0.0,0.04143412163092131,0.0,0.2030000792229157,0.17707080439364475,0.22995236916436684,6.91544649268649e-05,False,0.5140587548133085,0.0,-0.00022771401011856284,0.16603293783349024,-3.552713678800501e-18,0.9999999999999999,-0.11682830989460814,0.342263730396128,0.7492507492507493,0.7441917991613718,0
GENE00024,real_gene,6,0.0834,417,4583,4203.5298991444515,381.6627088666414,False,False,0.017982017982017984,0.0,0.014935868146617348,0.0,0.08340077960434757,0.05116617615114261,0.12628638109455395,0.00011176097851718507,False,0.5413442756595508,0.0,0.010939495741733911,0.23580776186067617,-2.4868995751603507e-17,1.0,0.03755067931623274,-2.4059786255299405,0.017982017982017984,0.014935868146617348,0
GENE00025,real_gene,6,0.0878,439,4561,4426.3231018483475,400.07843383010834,False,False,0.008991008991008992,0.0,0.008813001405156617,0.0,0.08779996968921296,0.06239587319605885,0.12742714402529595,7.457564160843081e-05,False,0.5322110455136372,0.0,0.003612923406257073,0.2248864921863073,1.7763568394002505e-18,1.0,-0.002877702099413556,-0.21151347020035505,0.8441558441558441,0.832122502903342,0
GENE00026,real_gene,6,0.2198,1099,3901,11055.591980452493,856.8924613583227,False,False,0.056943056943056944,0.0,0.06856179200058798,0.0,0.2198169058554654,0.18644909127128334,0.2613873593327215,0.0001144429982044003,False,0.5160784465568311,0.0,0.00563334221336901,0.1558698739181388,-7.105427357601002e-18,1.0,-0.11378915463911152,-1.0481128223456506,0.3036963036963037,0.2941103505054633,0
GENE00027,real_gene,6,0.092,460,4540,4625.16399782493,417.06221969176215,False,False,0.056943056943056944,0.0,0.051337183091551275,0.0,0.09199901809031927,0.058844790927076965,0.13867963400126762,0.00012302459581671626,False,0.5391021834897529,0.0,-0.005171042267385497,0.24300805358579486,1.5987211554602253e-17,1.0,-0.04780546744919624,-0.0022183204790847603,0.981018981018981,0.9918327246135659,0
GENE00028,real_gene,6,0.1202,601,4399,6046.489761910152,527.8518993608407,False,False,0.027972027972027972,0.0,0.034011599017544906,0.0,0.12019810598399852,0.08036393862919221,0.18305251563955732,0.00018097749898892142,False,0.5361296376918215,0.0,0.0017159461871268742,0.20281074392613874,-1.0658141036401503e-17,1.0,-0.07247619100783109,0.24763375543882743,0.7992007992007992,0.8127866261940567,0
GENE00029,real_gene,6,0.0518,259,4741,2605.2329281155703,245.23456420385605,False,False,0.003996003996003996,0.0,0.003720523790596675,0.0,0.05180004030216298,0.029616884885307195,0.08751968415508461,6.93741918944581e-05,False,0.5487397784381542,0.0,-0.012245993501583261,0.3018200376823216,2.3092638912203255e-17,1.0,-0.14859218882660996,0.3162427822427421,0.7852147852147852,0.7678067787561453,0
